data_ref,date,pm25_north,pm25_south,pm25_east,pm25_west,pm25_central,psi_north,psi_south,psi_east,psi_west,psi_central
4d4d20c2-0167-4bc2-a62c-4df6e11fb2ea,01/04/2014,20,16,18,23,19,58,56,57,66,59
c9d3c825-fd94-4e61-a4bc-2cf0f2208de0,02/04/2014,18,14,-,22,16,57,53,54,61,56
6d445ffb-d4c2-4f94-a27e-224fabe46d10,03/04/2014,12,12,10,14,10,55,53,52,59,54
7a404c50-710f-451a-9a42-a66bb783a3d0,04/04/2014,--,-,24,19,25,58,57,55,-,56
0d3194a7-ad1a-456e-9bf8-b1bae730977b,05/04/2014,18,19,21,13,17,64,64,66,-,66
01301ca7-b470-4e55-aa94-d11fd84cb014,06/04/2014,--,11,11,8,11,54,--,55,41,52
92ef8e57-7949-4b5f-8e70-ed3deb883060,07/04/2014,12,12,15,14,10,47,42,51,46,47
0ad7358f-7a69-4e60-bd91-47c8108de1fb,08/04/2014,22,--,14,21,19,57,55,54,56,54
7ed261dd-050b-4ed2-aaaa-864b40814844,09/04/2014,-,12,19,16,18,61,56,60,57,58
bbbf4449-812f-4127-8bf5-84f909dd04c3,10/04/2014,19,12,15,20,14,60,55,58,59,-
b617992d-2d16-4ec7-8463-c51a7a7583fd,11/04/2014,24,18,21,20,21,63,-,59,61,58
e7c7d092-32c4-4775-8d75-6d4b50295ef2,12/04/2014,19,14,21,16,16,59,57,61,56,57
cd66147d-b481-4e94-9e81-1c3624282865,13/04/2014,18,14,15,-,17,59,55,56,56,56
8b72520e-3fad-4a80-acd6-f81a37ed62ac,14/04/2014,25,20,17,21,--,60,58,54,63,58
a40a6c76-6d72-4e1a-81b9-faef3ab79c85,15/04/2014,31,29,30,22,29,69,66,68,--,66
c40be101-bb0e-4b07-aef3-1b9c438901b2,16/04/2014,27,23,20,19,21,66,63,--,--,63
3aa460ce-5a04-4216-b227-bebecf3a6b5f,17/04/2014,32,27,30,28,--,71,65,67,--,68
7aa77391-40ac-49d3-b5dc-893a8c6c09dd,18/04/2014,23,12,16,19,17,68,59,61,67,63
95c965ac-4374-4412-90d1-f50fe7485f10,19/04/2014,29,21,24,24,25,67,60,63,60,61
3ad295da-165b-4090-8d28-1cafa7054e9e,20/04/2014,12,7,12,11,-,58,52,56,56,58
8601c129-75ac-4d19-b8fb-e12443ed12a0,21/04/2014,24,-,21,13,17,63,62,63,58,61
1eb36b7a-cf6a-48fc-92b2-f01012225df6,22/04/2014,22,19,25,17,18,63,60,62,54,57
65a9c44c-2c9a-4fc3-8930-9a6e8a570eb4,23/04/2014,23,24,20,22,20,63,--,64,-,61
2a4ac6ec-d43c-4d77-af8c-4a35290aee44,24/04/2014,16,12,9,16,14,54,53,52,56,-
e0506d21-2d2a-4e7b-8db7-26649ef8973e,25/04/2014,26,21,--,28,-,64,58,63,62,60
3785929d-65a4-4904-b8d9-d89b584b61f2,26/04/2014,31,23,24,31,31,70,66,68,71,70
8c30f615-b490-44b7-825b-cd5b38990962,27/04/2014,20,13,14,-,19,59,-,54,65,59
6e8f75ce-15b3-45bc-a000-21018c36297c,28/04/2014,22,23,22,13,22,63,61,62,66,65
74b1c2ff-2bba-4554-acbd-a0c366e99b7b,29/04/2014,--,20,22,23,20,62,60,62,60,62
33289a79-6c8a-46bf-a47f-55af4619c299,30/04/2014,30,-,23,25,26,68,67,71,64,66
c838de79-8e74-475c-add7-c36b90a8785a,01/05/2014,18,11,--,11,19,63,51,52,63,56
29b0b0a3-bdba-49da-9714-193c5f063488,03/05/2014,11,8,9,12,10,52,46,43,54,47
