Daily Rainfall Total (mm),Min Temperature (deg C),Maximum Temperature (deg C),Min Wind Speed (km/h),Max Wind Speed (km/h),Sunshine Duration (hrs),Cloud Cover (%),Wet Bulb Temperature (deg F),Relative Humidity (%),Air Pressure (hPa),Daily Solar Panel Efficiency,Wind Direction_East,Wind Direction_North,Wind Direction_Northeast,Wind Direction_Northwest,Wind Direction_South,Wind Direction_Southeast,Wind Direction_Southwest,Wind Direction_West,Dew Point Category_0,Dew Point Category_1,Dew Point Category_2,Dew Point Category_3,Dew Point Category_4
0.0,28.6,32.4,7.4,33.1,7.55,20.0,59.1,100.0,1011,1,0,0,0,0,0,0,0,1,0,0,0,0,1
23.4,26.4,28.0,5.4,28.1,5.27,74.0,58.9,100.0,1012,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.2,28.0,32.5,10.4,34.6,7.39,13.0,59.1,81.7,1009,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1.8,27.6,34.0,7.2,-37.1,7.13,10.0,-59.3,100.0,1006,1,0,0,0,0,1,0,0,0,0,0,0,0,1
2.8,27.5,33.0,6.1,34.6,7.18,37.0,58.7,100.0,1006,1,0,0,1,0,0,0,0,0,0,0,0,1,0
0.0,28.5,33.4,7.9,33.1,7.65,13.0,59.1,97.6,1006,1,1,0,0,0,0,0,0,0,0,0,0,1,0
0.2,28.7,33.0,6.1,23.4,8.56,18.0,59.1,100.0,1005,2,0,0,0,0,0,0,0,1,0,0,0,0,1
28.8,28.4,31.6,6.9,25.6,5.34,78.0,59.5,100.0,1006,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0.0,28.2,30.9,6.4,29.2,7.79,11.0,59.3,96.1,1011,1,0,0,0,0,1,0,0,0,0,0,0,1,0
0.0,28.9,32.1,8.1,28.8,7.95,14.0,59.4,100.0,1009,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0.0,27.9,33.7,6.8,40.3,6.96,21.0,58.9,88.3,1005,1,0,0,0,0,1,0,0,0,0,0,1,0,0
0.0,28.6,33.0,8.8,32.8,7.64,11.0,59.6,96.1,1009,1,0,0,0,1,0,0,0,0,0,0,1,0,0
13.4,28.2,31.8,6.6,26.6,6.8,45.0,59.9,100.0,1008,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.4,28.4,30.8,6.2,29.9,7.67,20.0,59.4,96.6,1012,1,0,0,0,0,0,1,0,0,0,0,0,1,0
0.0,29.4,32.7,8.0,27.0,8.19,13.0,60.0,100.0,1009,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.0,29.6,33.7,10.3,29.2,8.07,22.0,60.2,94.6,1007,2,0,1,0,0,0,0,0,0,0,0,0,0,1
