data_ref,date,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Min Temperature (deg C),Maximum Temperature (deg C),Min Wind Speed (km/h),Max Wind Speed (km/h),Sunshine Duration (hrs),Cloud Cover (%),Wet Bulb Temperature (deg F),Relative Humidity (%),Air Pressure (hPa),Dew Point Category,Wind Direction,Daily Solar Panel Efficiency
4d4d20c2-0167-4bc2-a62c-4df6e11fb2ea,01/04/2014,-,2,2,2,28.4,32.4,7.5,25.9,8.07,18.0,-59.3,100.0,1006,VH,W,High
c9d3c825-fd94-4e61-a4bc-2cf0f2208de0,02/04/2014,0,0,0,--,28.8,32.6,--,33.1,7.57,23.0,59.2,100.0,1005,Very High,S,Medium
6d445ffb-d4c2-4f94-a27e-224fabe46d10,03/04/2014,0,0,0,0,29.3,--,--,43.2,6.72,16.0,59.7,98.5,1005,Low,E,Medium
7a404c50-710f-451a-9a42-a66bb783a3d0,04/04/2014,0,0,0,0,28.6,32.4,7.4,33.1,7.55,20.0,59.099999999999994,100.0,1011,Very High,W,Medium
0d3194a7-ad1a-456e-9bf8-b1bae730977b,05/04/2014,23.4,15.2,17.2,17.4,26.4,28,5.4,28.1,5.27,74.0,58.9,100.0,1012,Very High,east,Low
01301ca7-b470-4e55-aa94-d11fd84cb014,06/04/2014,0.2,0.2,0.2,0.2,28,32.5,10.4,34.6,7.39,13.0,59.099999999999994,81.7,1009,High,NORTHEAST,Low
92ef8e57-7949-4b5f-8e70-ed3deb883060,07/04/2014,10,9.8,10,-,28.6,34.5,7.6,43.2,5.75,40.0,58.599999999999994,100.0,1008,High,E,Low
0ad7358f-7a69-4e60-bd91-47c8108de1fb,08/04/2014,6.6,4.2,4.8,6.2,27.6,32.8,6.9,--,7.47,35.0,58.9,100.0,1002,Very High,NW,Low
7ed261dd-050b-4ed2-aaaa-864b40814844,09/04/2014,1.8,1.4,1.8,1.8,27.6,34,7.2,-37.1,7.13,10.0,-59.3,100.0,1006,Very High,S,Medium
bbbf4449-812f-4127-8bf5-84f909dd04c3,10/04/2014,0,-,0,0,28,31.8,6.2,29.2,7.88,15.0,-59.1,100.0,1003,Moderate,E,Medium
b617992d-2d16-4ec7-8463-c51a7a7583fd,11/04/2014,2.8,1.4,2.6,2.8,27.5,33,6.1,34.6,7.18,37.0,58.7,100.0,1006,High,NE,Medium
e7c7d092-32c4-4775-8d75-6d4b50295ef2,12/04/2014,--,1.4,2.8,-,26.8,30.2,5,24.1,7.43,35.0,58.4,100.0,1005,Moderate,SE,Low
cd66147d-b481-4e94-9e81-1c3624282865,13/04/2014,0,0,--,0,28.5,33.5,8.3,30.6,7.91,16.0,59.3,100.0,1010,Very High,NW,Medium
8b72520e-3fad-4a80-acd6-f81a37ed62ac,14/04/2014,0,0,0,0,28.4,32.6,7.7,-,7.86,15.0,59.4,100.0,1006,Very High,Southward,Medium
a40a6c76-6d72-4e1a-81b9-faef3ab79c85,15/04/2014,0,0,0,0,28.5,33.4,7.9,33.1,7.65,13.0,59.099999999999994,97.6,1006,High,E,Medium
